Id,Neighborhood,OverallQual,OverallCond,YearBuilt,House age,Vintage in Portafolio,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,SaleType,Market Price,Stat,LotArea
168,NridgHt,8,5,1995,25,3,1,1,3,1,Ex,8,Typ,Fin,3,789,TA,TA,Y,178,120,0,0,0,0,11,New,325624,Sold,10562
169,Gilbert,7,5,1986,34,1,2,1,3,1,Gd,7,Typ,Fin,2,440,TA,TA,Y,100,48,0,0,0,0,5,WD,183500,Sold,8244
170,Timber,8,6,1989,31,1,2,1,2,1,TA,6,Typ,RFn,2,511,TA,TA,Y,574,64,0,0,0,0,1,WD,228000,In portafolio,16669
171,OldTown,5,6,2007,13,1,1,1,2,1,TA,7,Typ,Unf,2,660,TA,TA,Y,237,0,0,0,0,0,5,WD,128500,In portafolio,12358
172,NAmes,6,5,2008,12,4,1,0,3,1,TA,7,Typ,Fin,2,528,TA,TA,P,210,62,0,0,0,0,5,WD,215000,Sold,31770
173,StoneBr,7,7,1983,37,1,2,0,2,1,Gd,5,Typ,RFn,2,504,Gd,TA,Y,441,35,0,0,0,0,6,WD,239000,In portafolio,5306
174,NAmes,6,5,2014,6,3,1,1,3,1,TA,6,Typ,Unf,2,504,TA,TA,Y,0,20,0,0,0,0,6,COD,163000,In portafolio,10197
175,Timber,6,5,1981,39,5,2,0,3,1,TA,7,Min2,Fin,2,616,TA,TA,Y,192,0,0,0,0,0,11,WD,184000,In portafolio,12416
176,Edwards,6,7,2004,16,3,2,0,4,1,Gd,7,Typ,Unf,2,576,TA,TA,Y,0,29,39,0,0,0,6,WD,243000,Sold,12615
177,ClearCr,6,5,1982,38,3,2,1,4,1,TA,8,Typ,Unf,2,521,TA,TA,Y,0,228,0,0,192,0,9,WD,211000,Sold,10029
178,Sawyer,5,5,2001,19,5,2,0,4,1,Gd,8,Typ,Unf,2,451,TA,TA,Y,0,0,0,0,0,0,7,WD,172500,In portafolio,13650
179,StoneBr,9,5,1987,33,1,2,0,1,1,Ex,9,Typ,Fin,3,1166,TA,TA,Y,0,60,0,0,0,0,7,New,501837,Sold,17423
180,OldTown,5,6,2014,6,3,1,0,2,1,TA,5,Typ,Unf,2,480,Fa,TA,N,0,0,184,0,0,0,7,WD,100000,Sold,8520
181,Somerst,6,5,1984,36,4,2,1,3,1,Gd,5,Typ,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,6,WD,177000,In portafolio,2117
182,Crawfor,7,6,1991,29,4,1,1,4,1,TA,9,Typ,Unf,1,216,Fa,TA,Y,0,0,40,0,0,0,7,WD,200100,In portafolio,7588
183,Edwards,5,6,2006,14,3,1,0,3,1,TA,7,Typ,RFn,1,252,TA,TA,Y,116,0,0,180,0,0,6,WD,120000,In portafolio,9060
184,OldTown,7,5,2014,6,3,2,1,3,1,Gd,6,Mod,Unf,2,484,TA,TA,N,280,238,0,0,0,0,6,WD,200000,Sold,11426
185,BrkSide,5,8,1990,30,4,1,0,3,1,TA,5,Typ,Unf,2,576,TA,TA,Y,104,0,0,0,0,0,6,WD,127000,In portafolio,7438
186,OldTown,10,9,2003,17,4,2,1,4,1,Ex,12,Typ,Unf,3,840,Ex,TA,Y,0,260,0,0,410,0,6,WD,475000,In portafolio,22950
187,Mitchel,7,5,2001,19,1,2,0,3,1,Gd,6,Typ,Unf,2,497,TA,TA,Y,168,27,0,0,0,0,6,WD,173000,Sold,9947
188,OldTown,5,7,1996,24,5,2,1,3,1,TA,8,Min2,Unf,1,180,Fa,Fa,N,0,0,0,140,0,0,8,WD,135000,In portafolio,10410
189,SawyerW,5,5,2008,12,1,0,2,2,2,TA,6,Typ,Unf,2,528,TA,TA,Y,120,0,0,0,0,0,6,WD,153337,In portafolio,7018
190,StoneBr,8,5,2019,1,1,1,1,0,1,Ex,5,Typ,Fin,2,682,TA,TA,Y,0,120,0,0,224,0,8,WD,286000,Sold,4923
191,Crawfor,8,8,1987,33,2,2,1,3,1,Gd,10,Maj1,Unf,2,440,TA,TA,Y,0,74,0,0,0,0,12,WD,315000,Sold,10570
192,NAmes,7,9,2002,18,2,1,1,4,1,Gd,7,Typ,Fin,2,484,TA,TA,Y,0,32,0,0,0,0,6,WD,184000,In portafolio,7472
193,CollgCr,7,5,2001,19,5,2,0,3,1,Gd,6,Typ,Fin,2,666,TA,TA,Y,0,35,0,0,0,0,9,WD,192000,Sold,9017
194,Edwards,7,5,2007,13,1,2,0,3,1,Gd,7,Maj1,Unf,2,380,TA,TA,Y,0,40,0,0,0,0,5,WD,130000,Sold,2522
195,CollgCr,5,7,1991,29,3,1,0,3,1,TA,5,Typ,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,5,WD,127000,In portafolio,7180
196,NPkVill,6,6,2011,9,3,2,1,3,1,TA,7,Typ,Unf,2,440,TA,TA,Y,87,0,0,0,0,0,7,WD,148500,Sold,2280
197,Somerst,7,5,1991,29,5,2,0,3,1,Ex,8,Typ,Fin,3,786,TA,TA,Y,171,138,0,0,266,0,9,New,311872,In portafolio,9416
198,NAmes,8,4,2005,15,1,2,0,4,1,Gd,8,Typ,Unf,2,795,TA,TA,Y,0,16,552,0,0,0,3,WD,235000,In portafolio,25419
199,OldTown,6,6,1994,26,3,1,0,5,1,TA,8,Typ,NA,0,0,NA,NA,Y,0,198,30,0,0,0,7,WD,104000,In portafolio,5520
200,NridgHt,8,5,1992,28,4,2,0,3,1,Ex,7,Typ,Fin,3,856,TA,TA,Y,0,26,0,0,170,0,1,WD,274900,Sold,9591
201,Edwards,4,5,1998,22,4,2,0,2,1,TA,5,Typ,RFn,2,440,TA,TA,Y,132,64,0,0,0,0,3,WD,140000,In portafolio,8546
202,Mitchel,6,6,2012,8,3,2,0,3,1,TA,6,Typ,Unf,2,473,TA,TA,Y,238,83,0,0,0,0,2,WD,171500,In portafolio,10125
203,OldTown,6,6,2013,7,4,2,0,2,1,TA,6,Min1,Unf,1,398,TA,TA,Y,0,0,126,0,0,0,5,COD,112000,Sold,7000
204,CollgCr,6,5,1998,22,1,1,0,1,1,Gd,3,Typ,RFn,2,420,TA,TA,Y,149,0,0,0,0,0,1,WD,149000,Sold,4438
205,OldTown,5,7,2012,8,1,1,1,2,1,TA,5,Typ,Unf,1,240,TA,TA,Y,0,35,0,0,0,0,4,WD,110000,Sold,3500
206,Gilbert,7,5,2009,11,4,2,0,3,1,TA,5,Typ,RFn,2,500,TA,TA,Y,0,34,0,508,0,0,5,WD,180500,In portafolio,11851
207,Sawyer,5,5,2005,15,1,1,1,3,1,TA,8,Min2,RFn,1,349,TA,TA,Y,0,30,0,0,0,0,3,WD,143900,Sold,13673
208,NAmes,4,5,1995,25,2,1,0,3,1,TA,6,Typ,RFn,1,312,TA,TA,Y,355,0,0,0,0,0,4,WD,141000,In portafolio,12493
209,SawyerW,7,5,1983,37,4,2,1,3,1,TA,7,Typ,Fin,2,454,TA,TA,Y,60,55,0,0,154,0,4,WD,277000,In portafolio,14364
210,NAmes,6,7,2003,17,2,1,0,3,1,TA,6,Typ,RFn,2,504,TA,Gd,Y,0,0,0,0,0,0,7,WD,145000,Sold,8250
211,Edwards,5,6,2000,20,5,1,0,2,1,TA,5,Typ,NA,0,0,NA,NA,Y,0,0,96,0,0,0,4,WD,98000,Sold,5604
212,Edwards,6,5,1991,29,3,2,0,3,1,Gd,6,Typ,RFn,2,460,TA,TA,Y,100,22,0,0,0,0,3,WD,186000,Sold,10420
213,Somerst,7,5,2000,20,5,2,1,3,1,Gd,7,Typ,RFn,2,644,TA,TA,Y,168,108,0,0,0,0,7,New,252678,In portafolio,8640
214,CollgCr,5,5,2017,3,2,1,0,3,1,TA,5,Typ,Unf,2,576,TA,TA,Y,224,0,0,0,0,0,7,WD,156000,Sold,13568
215,CollgCr,6,7,2014,6,2,1,1,3,1,TA,6,Typ,Fin,1,299,TA,TA,Y,0,36,0,0,0,450,3,WD,161750,In portafolio,10900
216,NAmes,5,6,1980,40,1,1,0,2,1,Gd,6,Min1,Unf,1,447,TA,TA,Y,0,0,0,0,0,0,5,WD,134450,In portafolio,10011
217,CollgCr,7,5,1981,39,2,2,0,3,1,Gd,8,Typ,Unf,2,484,TA,TA,Y,139,98,0,0,0,0,4,WD,210000,Sold,8450
218,OldTown,4,4,1996,24,3,1,0,3,1,TA,8,Typ,Unf,1,210,TA,TA,Y,0,172,60,0,0,0,9,WD,107000,In portafolio,9906
219,Crawfor,7,9,1987,33,2,1,1,3,1,Gd,8,Typ,Unf,2,431,TA,TA,Y,0,119,150,0,0,0,5,WD,311500,In portafolio,15660
220,Blmngtn,7,5,2014,6,5,2,0,2,1,Gd,5,Typ,Fin,2,438,TA,TA,Y,108,0,0,0,0,0,3,New,167240,In portafolio,3010
221,CollgCr,7,5,2019,1,3,2,0,2,1,Gd,5,Typ,RFn,2,675,TA,TA,Y,351,33,0,0,0,0,4,New,204900,Sold,8990
222,Gilbert,6,5,1981,39,1,2,1,4,1,Gd,8,Typ,RFn,2,390,TA,TA,Y,120,46,0,0,0,0,12,ConLI,200000,In portafolio,8068
223,NWAmes,6,6,1983,37,2,2,1,3,1,TA,6,Typ,RFn,2,434,TA,TA,Y,209,208,0,0,0,0,2,WD,179900,Sold,11475
224,NAmes,4,6,2004,16,5,1,0,2,1,TA,4,Typ,Unf,2,576,TA,TA,Y,216,0,0,0,0,0,3,WD,97000,In portafolio,10500
225,NridgHt,10,5,2016,4,3,2,0,3,1,Ex,8,Typ,Fin,3,968,TA,TA,Y,248,105,0,0,0,0,6,WD,386250,Sold,13472
226,BrDale,5,5,2000,20,1,2,1,3,1,TA,6,Typ,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,5,COD,112000,In portafolio,1680
227,NoRidge,7,5,2013,7,5,2,1,4,1,Gd,9,Typ,RFn,3,721,TA,TA,Y,224,114,0,0,0,0,6,WD,290000,In portafolio,9950
228,BrDale,6,6,2013,7,5,1,1,2,1,TA,5,Typ,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,9,WD,106000,In portafolio,1869
229,Sawyer,5,5,1988,32,1,1,0,3,1,TA,5,Typ,Unf,1,336,TA,TA,Y,0,0,0,0,0,0,5,WD,125000,In portafolio,8521
230,Blmngtn,7,5,2013,7,1,2,0,2,1,Gd,7,Typ,Fin,2,430,TA,TA,Y,143,20,0,0,0,0,5,WD,192500,Sold,3182
231,NAmes,6,6,2018,2,2,1,0,3,1,TA,6,Typ,RFn,1,312,TA,TA,Y,0,0,120,0,0,0,4,WD,148000,Sold,8760
232,NoRidge,8,5,1992,28,3,2,1,4,1,Ex,9,Typ,Fin,3,810,TA,TA,Y,0,146,202,0,0,0,7,WD,403000,In portafolio,15138
233,BrDale,6,5,2009,11,3,1,1,2,1,TA,5,Typ,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,6,WD,94500,In portafolio,1680
234,CollgCr,5,6,1980,40,5,1,0,3,1,TA,5,Typ,Unf,1,308,TA,TA,Y,365,0,0,0,0,0,2,WD,128200,Sold,10650
235,Gilbert,6,5,1985,35,5,2,1,4,1,Gd,8,Typ,Fin,2,440,TA,TA,Y,288,48,0,0,0,0,5,WD,216500,In portafolio,7851
236,BrDale,6,3,2018,2,5,1,1,2,1,TA,5,Typ,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,8,WD,89500,Sold,1680
237,CollgCr,7,5,1995,25,5,2,0,3,1,Gd,6,Typ,RFn,2,494,TA,TA,Y,132,105,0,0,0,0,5,WD,185500,In portafolio,8773
238,SawyerW,7,7,1987,33,3,2,1,3,1,Gd,7,Typ,RFn,2,457,TA,TA,Y,370,70,0,238,0,0,2,WD,194500,In portafolio,9453
239,NridgHt,8,5,2000,20,1,2,0,3,1,Gd,7,Typ,Fin,3,818,TA,TA,Y,168,228,0,0,0,0,12,New,318000,In portafolio,12030
240,Edwards,6,4,2017,3,5,1,1,3,1,TA,7,Typ,Unf,1,220,TA,TA,Y,0,140,0,0,0,0,4,WD,113000,Sold,8741
241,Somerst,8,5,2013,7,4,2,0,3,1,Gd,7,Typ,RFn,2,750,TA,TA,Y,144,168,0,0,0,0,4,WD,262500,Sold,9000
242,OldTown,5,9,2011,9,1,1,0,2,1,Gd,4,Typ,NA,0,0,NA,NA,Y,58,42,0,0,0,0,8,WD,110500,In portafolio,3880
243,OldTown,5,4,2000,20,4,1,0,3,1,TA,6,Typ,Unf,1,352,Fa,TA,Y,0,0,77,0,0,0,4,WD,79000,Sold,5000
244,SawyerW,6,6,1990,30,5,1,1,3,1,TA,6,Typ,RFn,1,288,TA,TA,Y,0,28,0,0,0,0,4,WD,120000,Sold,10762
245,SawyerW,7,5,2014,6,5,2,1,3,1,Gd,8,Typ,RFn,2,463,TA,TA,Y,0,130,0,0,0,0,5,WD,205000,Sold,8880
246,NWAmes,7,5,1985,35,1,2,0,3,1,TA,6,Typ,Fin,2,604,TA,TA,Y,197,39,0,0,0,0,6,WD,241500,In portafolio,10400
247,OldTown,6,8,2007,13,1,2,0,4,2,Fa,9,Typ,Unf,1,440,Po,Po,Y,0,60,112,0,0,0,4,WD,137000,Sold,9142
248,NAmes,6,5,1989,31,3,1,0,2,1,TA,5,Typ,Unf,2,451,TA,TA,Y,0,30,0,0,0,0,6,WD,140000,Sold,11310
249,CollgCr,7,5,1982,38,5,2,1,3,1,Gd,8,Typ,RFn,2,500,TA,TA,Y,144,68,0,0,0,0,9,WD,180000,Sold,11317
250,ClearCr,6,7,1995,25,2,2,0,4,1,Gd,7,Typ,Fin,2,389,TA,TA,Y,0,98,0,0,0,500,6,WD,277000,In portafolio,159000
251,BrkSide,3,2,2005,15,4,1,0,3,1,Fa,6,Mod,NA,0,0,NA,NA,Y,263,0,0,0,0,450,5,WD,76500,Sold,5350
252,Crawfor,8,5,2009,11,3,2,0,2,1,Gd,5,Typ,Fin,2,538,TA,TA,Y,123,0,0,0,153,0,12,WD,235000,Sold,4750
253,SawyerW,6,5,1980,40,1,2,1,3,1,Gd,6,Typ,RFn,2,520,TA,TA,Y,138,45,0,0,0,0,12,WD,173000,In portafolio,8366
254,NAmes,6,7,1989,31,2,2,0,3,1,Gd,7,Min1,RFn,1,309,TA,TA,Y,333,0,0,0,0,0,10,CWD,158000,Sold,9350
255,NAmes,5,6,2011,9,4,1,0,3,1,TA,5,Typ,RFn,1,294,TA,TA,Y,250,0,0,0,0,0,6,WD,145000,Sold,8400
256,Gilbert,7,5,2002,18,2,2,1,4,1,Gd,8,Typ,Fin,2,429,TA,TA,Y,192,0,0,0,0,0,2,WD,230000,Sold,8738
257,Somerst,6,5,1981,39,5,2,1,3,1,Gd,7,Typ,RFn,2,673,TA,TA,Y,216,56,0,0,0,0,5,WD,207500,In portafolio,8791
258,CollgCr,7,5,2010,10,2,2,1,3,1,Gd,8,Typ,RFn,2,660,TA,TA,Y,123,110,0,0,0,0,3,WD,220000,Sold,8814
259,CollgCr,7,5,2020,0,1,2,1,3,1,Gd,7,Typ,RFn,2,564,TA,TA,Y,0,96,0,245,0,0,5,WD,231500,Sold,12435
260,OldTown,5,5,2020,0,4,1,0,2,1,TA,4,Typ,Unf,1,308,TA,TA,Y,0,45,0,0,0,0,12,WD,97000,Sold,12702
261,NAmes,6,5,2011,9,3,1,0,3,1,TA,6,Typ,Unf,2,884,TA,TA,Y,0,0,252,0,0,0,5,WD,176000,In portafolio,19296
262,CollgCr,8,5,1999,21,2,2,1,3,1,Ex,10,Typ,Fin,3,868,TA,TA,Y,0,148,0,0,0,0,11,New,276000,In portafolio,9588
263,Sawyer,6,7,1992,28,2,1,0,3,1,TA,6,Typ,Unf,2,492,TA,TA,Y,292,12,0,0,0,0,7,WD,151000,In portafolio,8471
264,OldTown,5,7,1986,34,2,1,0,3,1,TA,6,Typ,Unf,2,484,TA,TA,Y,0,0,0,0,0,0,4,WD,130000,Sold,5500
265,OldTown,5,5,2016,4,4,1,0,2,1,TA,4,Typ,Unf,2,504,TA,TA,N,0,0,0,0,0,0,6,WD,73000,Sold,5232
266,NWAmes,6,6,2003,17,3,2,0,3,1,Gd,7,Typ,Fin,2,576,TA,TA,Y,276,0,0,0,0,0,6,WD,175500,Sold,12090
267,Gilbert,6,5,1991,29,2,2,1,3,1,TA,8,Typ,Fin,2,413,TA,TA,Y,95,75,0,0,0,0,6,WD,185000,Sold,11207
268,SWISU,5,8,1987,33,4,2,1,4,1,Gd,8,Typ,Unf,1,240,TA,TA,Y,262,24,0,0,0,0,7,WD,179500,In portafolio,8400
269,IDOTRR,5,6,1993,27,3,1,0,2,1,TA,4,Typ,Fin,1,924,Ex,Ex,Y,0,25,0,0,0,0,2,WD,120500,In portafolio,6900
270,Edwards,6,7,1994,26,1,1,1,3,1,TA,6,Typ,RFn,1,504,TA,Gd,Y,370,30,0,0,0,0,5,WD,148000,In portafolio,7917
271,Somerst,8,5,2006,14,3,2,1,3,1,Gd,8,Typ,RFn,3,1053,TA,TA,Y,192,51,0,0,0,0,8,New,266000,In portafolio,10728
272,ClearCr,7,7,1991,29,4,1,0,2,1,TA,5,Mod,Unf,2,439,TA,TA,Y,81,0,0,0,0,0,4,WD,241500,Sold,39104
273,NoRidge,8,7,2010,10,1,2,1,4,1,Gd,9,Typ,Fin,3,671,TA,TA,Y,132,57,0,0,0,0,4,WD,290000,In portafolio,11764
274,NAmes,6,6,2017,3,1,2,0,3,1,TA,6,Min1,RFn,1,338,TA,TA,Y,289,0,0,0,0,0,4,WD,139000,Sold,9600
275,Mitchel,5,7,1984,36,3,1,0,2,1,TA,5,Typ,Unf,1,264,TA,TA,Y,168,0,0,0,0,0,6,WD,124500,In portafolio,8314
276,BrkSide,7,7,1989,31,5,2,1,3,1,Ex,5,Typ,Unf,2,672,TA,TA,Y,74,0,0,0,144,0,10,WD,205000,In portafolio,7264
277,Mitchel,7,5,1985,35,4,2,0,3,1,Gd,7,Typ,Fin,2,573,TA,TA,Y,100,150,0,0,0,0,4,WD,201000,Sold,9196
278,Gilbert,4,5,2002,18,2,1,0,2,1,TA,4,Typ,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,6,WD,141000,Sold,19138
279,NridgHt,9,5,1991,29,3,2,1,3,1,Ex,8,Typ,Fin,3,732,TA,TA,Y,124,98,0,0,142,0,5,New,415298,In portafolio,14450
280,ClearCr,7,5,2003,17,1,2,1,4,1,TA,8,Typ,Fin,2,505,TA,TA,Y,288,117,0,0,0,0,3,WD,192000,Sold,10005
281,SawyerW,7,6,1995,25,1,2,1,3,1,Gd,7,Typ,Fin,2,575,TA,TA,Y,0,84,0,196,0,0,1,WD,228500,In portafolio,11287
282,Somerst,6,5,1994,26,1,2,0,2,1,Gd,5,Typ,Fin,2,572,TA,TA,Y,0,120,0,0,0,0,5,New,185000,Sold,7200
283,NridgHt,7,5,1987,33,3,2,0,2,1,Gd,6,Typ,RFn,2,626,TA,TA,Y,172,62,0,0,0,0,4,ConLw,207500,Sold,5063
284,Somerst,8,5,1981,39,1,2,0,3,1,Gd,6,Typ,Fin,3,898,TA,TA,Y,210,150,0,0,0,0,12,New,244600,Sold,9612
285,SawyerW,6,5,1988,32,5,2,0,2,1,Gd,5,Typ,RFn,2,529,TA,TA,Y,0,0,52,0,0,0,7,WD,179200,In portafolio,8012
286,Somerst,7,5,2001,19,3,2,1,2,1,Gd,5,Typ,RFn,2,528,TA,TA,Y,0,54,0,0,0,0,6,New,164700,Sold,4251
287,NAmes,6,7,1992,28,4,1,1,3,1,Gd,7,Typ,RFn,2,440,TA,TA,Y,0,0,0,0,128,0,6,WD,159000,Sold,9786
288,NAmes,4,4,1985,35,2,1,0,3,1,TA,5,Typ,NA,0,0,NA,NA,Y,0,0,0,0,0,0,6,WD,88000,Sold,8125
289,Sawyer,5,5,1994,26,1,1,0,3,1,TA,5,Typ,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,2,WD,122000,Sold,9819
290,BrkSide,6,7,2005,15,5,1,0,3,1,TA,7,Typ,Unf,1,384,TA,TA,Y,0,0,0,0,259,0,7,WD,153575,Sold,8730
291,CollgCr,8,5,2000,20,2,2,1,3,1,Gd,8,Typ,RFn,2,685,Gd,TA,Y,0,51,0,0,0,0,7,New,233230,Sold,15611
292,SWISU,5,6,1990,30,2,2,0,6,1,Fa,9,Typ,NA,0,0,NA,NA,N,0,184,0,0,0,0,3,WD,135900,Sold,5687
293,Edwards,5,4,1982,38,3,1,1,3,1,TA,8,Min2,Unf,1,281,TA,TA,Y,0,0,0,0,160,0,1,WD,131000,Sold,11409
294,NWAmes,7,7,1998,22,2,2,1,3,1,Gd,9,Typ,Fin,2,539,TA,TA,Y,0,250,0,0,0,0,3,WD,235000,Sold,16659
295,NAmes,6,5,2012,8,5,1,0,3,1,TA,7,Typ,Fin,2,418,TA,TA,Y,110,0,0,0,0,0,10,WD,167000,Sold,9600
296,Mitchel,6,6,1999,21,5,1,0,3,1,TA,6,Typ,Unf,2,588,TA,TA,Y,120,0,0,0,0,0,3,WD,142500,In portafolio,7937
297,IDOTRR,5,5,2001,19,1,1,1,4,1,TA,6,Typ,Unf,1,282,TA,TA,Y,289,0,0,0,0,0,6,WD,152000,Sold,13710
298,Somerst,7,5,1996,24,4,2,1,3,1,Gd,7,Typ,RFn,2,576,TA,TA,Y,0,10,0,0,198,0,6,WD,239000,Sold,7399
299,NWAmes,6,6,1989,31,3,1,2,3,1,TA,7,Typ,Unf,2,539,TA,TA,Y,224,0,0,0,0,0,6,WD,175000,In portafolio,11700
300,Crawfor,6,8,1995,25,3,1,0,3,1,Gd,6,Typ,Unf,1,300,TA,TA,Y,0,36,0,0,0,0,8,WD,158500,In portafolio,14000
301,Crawfor,5,5,2018,2,5,1,0,2,1,TA,5,Typ,Unf,1,375,TA,TA,Y,0,0,0,0,0,0,6,WD,157000,Sold,15750
302,CollgCr,8,5,1986,34,4,2,1,4,1,Gd,9,Typ,Fin,2,683,TA,TA,Y,208,50,0,0,0,0,5,WD,267000,Sold,16226
303,CollgCr,7,5,1983,37,1,2,0,3,1,Gd,6,Typ,RFn,3,843,TA,TA,Y,468,81,0,0,0,0,1,WD,205000,In portafolio,13704
304,CollgCr,5,7,2020,0,5,1,0,3,1,TA,5,Typ,Unf,2,552,TA,TA,Y,256,0,0,0,0,0,7,WD,149900,Sold,9800
305,OldTown,7,9,2014,6,5,3,0,3,1,Gd,10,Typ,Unf,3,870,TA,TA,Y,302,0,0,0,0,0,5,WD,295000,In portafolio,18386
306,CollgCr,8,5,1996,24,2,2,0,3,1,Gd,8,Typ,Fin,3,888,TA,TA,Y,168,0,0,0,0,0,7,WD,305900,Sold,10386
307,SawyerW,7,5,2015,5,3,2,1,4,1,Gd,8,Typ,RFn,3,746,TA,TA,Y,127,44,224,0,0,0,6,WD,225000,In portafolio,13474
308,IDOTRR,6,7,2004,16,5,1,0,3,1,Fa,6,Typ,NA,0,0,NA,NA,N,0,144,0,0,0,0,3,WD,89500,Sold,7920
309,Edwards,4,5,2004,16,3,1,0,1,1,TA,4,Typ,Unf,2,539,TA,TA,Y,158,0,0,0,0,0,3,WD,82500,Sold,12342
310,NridgHt,9,5,1995,25,3,2,0,3,1,Ex,8,Typ,Fin,3,708,TA,TA,Y,208,175,0,0,0,0,11,WD,360000,Sold,12378
311,Gilbert,6,5,1989,31,3,2,1,3,1,Gd,6,Typ,Fin,2,420,TA,TA,Y,190,63,0,0,0,0,5,WD,165600,Sold,7685
312,NAmes,6,6,1997,23,4,1,0,2,1,TA,5,Typ,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,5,WD,132000,In portafolio,8000
313,OldTown,5,7,1989,31,3,1,0,3,1,TA,5,Typ,Unf,2,410,TA,TA,Y,0,0,0,0,271,0,5,WD,119900,In portafolio,7800
314,Timber,7,5,1996,24,2,2,0,3,1,TA,8,Typ,RFn,2,513,TA,TA,Y,0,0,0,0,0,0,6,WD,375000,In portafolio,215245
315,OldTown,7,7,1982,38,1,1,1,3,1,Ex,6,Typ,Unf,2,546,Fa,TA,Y,0,0,234,0,0,0,8,WD,178000,In portafolio,9600
316,Gilbert,7,5,1993,27,3,2,1,3,1,Gd,6,Typ,Fin,2,432,TA,TA,Y,100,51,0,0,0,0,7,WD,188500,Sold,7795
317,NWAmes,7,7,2013,7,3,2,1,4,1,Ex,10,Typ,RFn,2,484,TA,TA,Y,288,195,0,0,0,0,8,WD,260000,In portafolio,13005
318,Somerst,8,5,2002,18,3,2,1,3,1,Gd,8,Typ,RFn,3,1025,TA,TA,Y,208,46,0,0,0,0,12,WD,270000,Sold,9000
319,NoRidge,7,5,1982,38,1,2,1,4,1,Gd,9,Typ,RFn,3,656,TA,TA,Y,340,60,144,0,0,0,4,WD,260000,Sold,9900
320,NWAmes,7,5,2001,19,5,2,0,3,1,TA,6,Typ,Unf,2,588,TA,TA,Y,233,48,0,0,0,0,6,WD,187500,Sold,14115
321,NridgHt,9,5,1998,22,4,3,1,4,1,Gd,9,Typ,RFn,3,840,TA,TA,Y,240,154,0,0,0,0,9,New,342643,In portafolio,16259
322,NridgHt,8,5,2016,4,2,2,1,4,1,Gd,10,Typ,Fin,3,872,TA,TA,Y,184,154,0,0,0,0,6,WD,354000,Sold,12099
323,SawyerW,7,5,1990,30,2,2,1,4,1,Gd,8,Typ,Fin,2,576,TA,TA,Y,201,96,0,0,0,0,8,WD,301000,In portafolio,10380
324,OldTown,3,8,2001,19,3,1,0,3,1,TA,6,Typ,Unf,1,220,Fa,TA,Y,142,98,0,0,0,0,7,WD,126175,In portafolio,5820
325,NAmes,7,7,2001,19,5,2,1,5,1,Gd,11,Typ,Fin,2,564,TA,TA,Y,240,0,0,0,0,0,6,WD,242000,Sold,11275
326,IDOTRR,5,6,1981,39,5,1,0,2,1,TA,5,Typ,Unf,2,360,TA,TA,Y,0,0,244,0,0,0,12,WD,87000,In portafolio,5000
327,Veenker,8,5,1995,25,1,1,1,1,1,Gd,6,Typ,Fin,2,473,TA,TA,Y,122,30,0,0,0,0,5,Con,324000,In portafolio,10846
328,NAmes,6,5,2000,20,3,1,1,3,1,TA,7,Typ,RFn,1,292,TA,TA,Y,0,45,0,0,0,0,4,WD,145250,In portafolio,11600
329,BrkSide,6,6,2018,2,2,2,0,5,1,Gd,10,Typ,Unf,2,441,TA,TA,Y,0,60,268,0,0,0,7,WD,214500,Sold,11888
330,IDOTRR,5,5,2015,5,3,1,0,3,1,TA,6,Typ,Unf,1,189,Fa,Fa,N,0,0,137,0,0,0,7,WD,78000,In portafolio,6402
331,NAmes,5,4,2006,14,3,2,0,6,2,TA,10,Typ,Unf,1,352,TA,TA,Y,155,0,0,0,0,0,11,WD,119000,Sold,10624
332,NAmes,5,6,1983,37,5,1,0,3,1,TA,6,Typ,RFn,1,308,TA,TA,Y,0,0,0,0,0,0,8,WD,139000,Sold,8176
333,NridgHt,8,5,1997,23,5,2,0,3,1,Gd,7,Typ,RFn,3,880,TA,TA,Y,0,0,0,0,0,0,10,WD,284000,Sold,10655
334,NridgHt,7,5,2006,14,1,2,0,2,1,Gd,6,Typ,RFn,2,484,TA,TA,Y,192,30,0,0,0,0,7,WD,207000,In portafolio,8198
335,Gilbert,6,5,2016,4,3,2,1,3,1,TA,7,Typ,Fin,2,472,TA,TA,Y,100,38,0,0,0,0,7,WD,192000,Sold,9042
336,Timber,5,6,1991,29,1,2,0,3,1,TA,7,Typ,Fin,2,529,TA,TA,Y,670,0,0,0,0,700,8,WD,228950,In portafolio,164660
337,StoneBr,9,5,2008,12,1,2,0,3,1,Gd,8,Typ,Fin,3,676,TA,TA,Y,178,51,0,0,0,0,7,WD,377426,In portafolio,14157
